Ort_Name;ID_Bundesland;Bevoelkerungsstand_insgesamt;Bevoelkerungsstand_maennlich;Bevoelkerungsstand_weiblich;Kreise_und_Stadt
Chemnitz;14;248563;122678;125885;kreisfreie Stadt
Erzgebirgskreis;14;328850;160991;167859;Kreis
Mittelsachsen;14;300639;149223;151416;Landkreis
Vogtlandkreis;14;222666;108488;114178;Kreis
Zwickau;14;310838;151813;159025;Landkreis
Dresden;14;563311;279338;283973;kreisfreie Stadt
Bautzen;14;297711;146982;150729;Landkreis
Görlitz;14;249681;122032;127649;Landkreis
Meißen;14;241343;118391;122952;Landkreis
Sächsische Schweiz-Osterzgebirge;14;246204;121264;124940;Landkreis
Leipzig;14;616093;302741;313352;kreisfreie Stadt
Nordsachsen;14;199824;99026;100798;Landkreis
Dessau;15;79655;38509;41146;kreisfreie Stadt
Halle;15;242083;116835;125248;kreisfreie Stadt
Magdeburg;15;239364;117729;121635;kreisfreie Stadt
Altmarkkreis Salzwedel;15;82457;41042;41415;Kreis
Anhalt-Bitterfeld;15;157235;76971;80264;Landkreis
Börde;15;171393;85383;86010;Landkreis
Burgenlandkreis;15;177212;87200;90012;Kreis
Harz;15;210381;103454;106927;Landkreis
Jerichower Land;15;90256;44854;45402;Landkreis
Mansfeld-Südharz;15;132034;64916;67118;Landkreis
Saalekreis;15;183974;90866;93108;Kreis
Salzlandkreis;15;186420;90887;95533;Kreis
Stendal;15;110291;54172;56119;Landkreis
Wittenberg;15;123888;60893;62995;Landkreis
Erfurt;16;214969;104205;110764;kreisfreie Stadt
Gera;16;93634;45174;48460;kreisfreie Stadt
Jena;16;111191;55301;55890;kreisfreie Stadt
Suhl;16;37009;18339;18670;kreisfreie Stadt
Weimar;16;65620;31624;33996;kreisfreie Stadt
Eichsfeld;16;100091;50150;49941;Landkreis
Nordhausen;16;82444;40782;41662;Landkreis
Wartburgkreis;16;159539;79425;80114;Kreis
Unstrut-Hainich-Kreis;16;102256;50688;51568;Kreis
Schmalkalden-Meiningen;16;123939;61977;61962;Landkreis
Gotha;16;134941;66997;67944;Landkreis
Hildburghausen;16;61926;31002;30924;Landkreis
Ilm-Kreis;16;106776;53798;52978;Kreis
Weimarer Land;16;83179;41156;42023;Landkreis
Sonneberg;16;56922;28093;28829;Landkreis
Saalfeld-Rudolstadt;16;101494;49926;51568;Landkreis
Saale-Holzland-Kreis;16;83234;41328;41906;Kreis
Saale-Orla-Kreis;16;79178;39306;39872;Kreis
Greiz;16;96381;47487;48894;Landkreis
Altenburger Land;16;88787;43266;45521;Landkreis
